age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.319048453100000006e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.865320913270968717e+00,6.909103263947088402e-01,1.298803938934063873e-01,8.589562255090713028e-02,3.107546014632267628e+01
1.519048453100000006e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.178673537339463451e+00,7.328818319780742163e-01,1.378463677546490351e-01,7.789659086276019828e-02,2.994013816847493104e+01
1.719048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.432311422682280622e+00,7.694172008426011233e-01,1.448136764139618116e-01,6.919894538947653218e-02,2.874563410269767871e+01
1.919048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.620691295386076369e+00,8.000634215950531702e-01,1.506998792724636715e-01,5.980268613105617359e-02,2.750460440780084781e+01
2.119048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.737847403112187550e+00,8.243674828421934109e-01,1.554234388094860309e-01,4.970781308749913641e-02,2.623383927155767026e+01
2.319048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.777234886407391912e+00,8.418763731907855652e-01,1.589031414075063597e-01,3.891432625880539287e-02,2.494825658565312665e+01
2.519048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.731972230401593649e+00,8.521370812475932421e-01,1.610587569367369076e-01,2.742222564497495338e-02,2.366915853133705738e+01
2.719048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.932584158191577473e+00,8.871095608054542225e-01,1.678013524655144750e-01,2.100199143808465299e-02,2.242111871163559300e+01
2.919048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.110595732632674526e+00,9.199302362454414572e-01,1.741471113728509934e-01,1.497184692745021431e-02,2.121979093524201687e+01
3.119048453099999824e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.264574735554598206e+00,9.503726018709367507e-01,1.800528517067203904e-01,9.373893632924856084e-03,2.007954245849282771e+01
3.319048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.393018437563704026e+00,9.782101519853223515e-01,1.854753269609729915e-01,4.250337493487950022e-03,1.901157965072820843e+01
3.519048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.494503205055606188e+00,1.003216380891979176e+00,1.903709619696934696e-01,-3.567888287390524535e-04,1.802957666085301724e+01
3.719048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.567645858343335696e+00,1.025164782894289583e+00,1.946961770368524358e-01,-4.405961403429305492e-03,1.714386328116151859e+01
3.919048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.611071032186459639e+00,1.043828852295634713e+00,1.984076543070057985e-01,-7.855912251693138171e-03,1.636292011144080050e+01
4.119048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.623384312215451430e+00,1.058982083399397256e+00,2.014617495300006500e-01,-1.066531880676799618e-02,1.569675168180479119e+01
4.319048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.603257469025344051e+00,1.070397970508957908e+00,2.038145498199279149e-01,-1.279372986930621924e-02,1.515542526444539462e+01
4.519048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.549336995175426779e+00,1.077850007927699139e+00,2.054227282611157113e-01,-1.419877981381232473e-02,1.468297447280798806e+01
4.719048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.460276291648733960e+00,1.081111689959002309e+00,2.062428979138824781e-01,-1.483578427597454473e-02,1.427645745090488383e+01
4.919048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.334762078416270370e+00,1.079956510906249001e+00,2.062310813381955932e-01,-1.466023715146435973e-02,1.393040680423112221e+01
5.119048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,7.171481981471831801e+00,1.074157965072821241e+00,2.053436229586173556e-01,-1.362694239960135154e-02,1.363644227502321193e+01
5.319048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.969124532831999730e+00,1.063489546762100835e+00,2.035368649346530334e-01,-1.169026682371061832e-02,1.338670388910280806e+01
5.519048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.726352533466215533e+00,1.047724750277469141e+00,2.007674135314502784e-01,-8.804450610432855429e-03,1.317271489727966483e+01
5.719048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.441861876826201261e+00,1.026637069922308410e+00,1.969912845138054869e-01,-4.923329633740287405e-03,1.298352080454823287e+01
5.919048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.114349135880766006e+00,9.999999999999996669e-01,1.921650818818092799e-01,0.000000000000000000e+00,1.281010623117171043e+01
6.119048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.067289474280276096e+00,9.999999999999996669e-01,1.922564517882624502e-01,0.000000000000000000e+00,1.264288862714896844e+01
6.319048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,6.023078303019319790e+00,9.999999999999996669e-01,1.923421617703684749e-01,0.000000000000000000e+00,1.248413712654872754e+01
6.479048453100000188e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.981754649029421778e+00,9.999999999999996669e-01,1.924223579243017623e-01,0.000000000000000000e+00,1.233603818886044401e+01
6.607048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.943375116084167686e+00,9.999999999999996669e-01,1.924966912047837708e-01,0.000000000000000000e+00,1.219743754105415157e+01
6.767048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.907933656481459295e+00,9.999999999999996669e-01,1.925655425943962051e-01,0.000000000000000000e+00,1.206986998573013814e+01
6.967048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.875371446691882937e+00,9.999999999999996669e-01,1.926285689370087206e-01,0.000000000000000000e+00,1.195255883485469184e+01
7.167048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.845677093478899522e+00,9.999999999999996669e-01,1.926861967428480371e-01,0.000000000000000000e+00,1.184516229133162213e+01
7.367048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.818750413372894670e+00,9.999999999999996669e-01,1.927384944166345704e-01,0.000000000000000000e+00,1.174844662393259043e+01
7.567048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.794512831547711684e+00,9.999999999999996669e-01,1.927857559627624007e-01,0.000000000000000000e+00,1.166139844617091548e+01
7.767048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.772840404086161392e+00,9.999999999999996669e-01,1.928279059548347329e-01,0.000000000000000000e+00,1.158407529049355134e+01
7.967048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.753614260798658009e+00,9.999999999999996669e-01,1.928654651294479661e-01,0.000000000000000000e+00,1.151564588099390463e+01
8.167048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.736749960361501977e+00,9.999999999999996669e-01,1.928985757321796113e-01,0.000000000000000000e+00,1.145546694149357592e+01
8.367048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.722038143559309731e+00,9.999999999999996669e-01,1.929273211171260716e-01,0.000000000000000000e+00,1.140421776257672448e+01
8.567048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.709408956035242788e+00,9.999999999999996669e-01,1.929523694760922892e-01,0.000000000000000000e+00,1.135972932569253580e+01
8.767048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.698665926748056165e+00,9.999999999999996669e-01,1.929734687082379219e-01,0.000000000000000000e+00,1.132235430021064815e+01
8.967048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.689685338286256666e+00,9.999999999999996669e-01,1.929912688849123870e-01,0.000000000000000000e+00,1.129111576706153919e+01
